Código-Actividades;Titulo-Actividades;Código-NIC
667005;Aceptar la realidad del cliente.;6670
704003;Aceptar las expresiones de emoción negativa.;7040
672005;Aceptar los requerimientos que realice la paciente sobe el parto cuando estos requerimientos sean coherentes con las normas de cuidado perinatales.;6720
714008;Aceptar los valores familiares sin emitir juicios.;7140
528015;Aceptar si el enfado y el resentimiento son justificables.;5280
614003;Acercar el carro de paradas junto a la cama.;6140
064006;Acercarse a los 15 minutos de intervalos prescritos de evacuación puntual.;0640
497409;Acercarse al oído menos afectado.;4974
482019;Acercarse al paciente lentamente y de frente.;4820
644030;Acercarse al paciente lentamente y de frente.;6440
492013;Aclarar el mensaje mediante el uso de preguntas y retroalimentación.;4920
756010;Aclarar la comprensión por parte de la familia del estado del paciente.;7560
756008;Aclarar las normas de visitas con los miembros de la familia/seres queridos.;7560
756009;Aclarar las normas sobre permanencia por la noche de miembros de la familia/seres queridos.;7560
802014;Aclarar las responsabilidades relacionadas con la puesta en práctica del plan de cuidados del paciente.;8020
091005;Acolchar la parte lesionada para evitar la fricción con otro dispositivo, si es el caso.;0910
076210;Acolchar los bordes ásperos y las conexiones de tracción del yeso, si procede.;0762
717019;Acompañar a la familia a pie de cama si así lo solicita el personal que proporciona cuidados directos.;7170
717017;Acompañar a la familia al tratamiento y a la zona de recuperación, anunciando su presencia al personal terapéutico cada vez que la familia entre en la zona de tratamiento.;7170
103017;Acompañar al paciente al servicio durante los momentos de observación establecidos después de las comidas/tentempiés.;1030
269002;Acompañar al paciente durante las actividades fuera de la sala, si procede.;2690
648006;Acompañar al paciente en las actividades realizadas fuera de la sala, si procede.;6480
105013;Acompañar la comida con el agua, si es necesario.;1050
684022;Aconsejar a la madre/padre a disminuir la actividad cuando el bebé muestre signos de estimulación excesiva molestia o rechazo.;6840
684023;Aconsejar a la madre/padre que deje dormir al bebé durante los cuidados de canguro.;6840
716009;Aconsejar a la paciente el tratamiento de la enfermedad de transmisión sexual de su compañero, si el cultivo fuera positivo.;7160
716013;Aconsejar a la paciente evitar el uso de dispositivos intrauterinos.;7160
716008;Aconsejar a la paciente la necesidad de exploración y tratamiento de la enfermedad de transmisión sexual si el compañero muestra cualquier síntoma, incluso si la paciente no experimentara ningún síntoma.;7160
716024;Aconsejar a la paciente que considera la esterilización que tenga en cuenta la irreversibilidad del procedimiento.;7160
687009;Aconsejar a la paciente que evite la estimulación de los pechos.;6870
600006;Aconsejar a la persona a adoptar una posición cómoda sin ropas que compriman y con los ojos cerrados.;6000
604007;Aconsejar a la persona a adoptar una posición cómoda sin ropas restrictivas y con los ojos cerrados.;6040
426045;Aconsejar a los pacientes sobre el riesgo de llevar información de alerta médica.;4260
682016;Aconsejar a los padres a que realicen los cuidados diarios del lactante, si procede.;6820
450016;Aconsejar a los padres el apoyo de las normas escolares que prohíben el consumo de alcohol y drogas en las actividades extraescolares.;4500
164019;Aconsejar a los padres que eviten sumergir los oídos del bebé en agua cuando los drenajes estén puestos.;1640
449004;Aconsejar al fumador de forma clara y consistente dejar de fumar.;4490
560315;"Aconsejar al individuo la visita a un profesional cuando sea adecuado (p.ej; la presencia de lesión infectada o que no se cura).";5603
560329;Aconsejar al individuo que deje de fumar, si procede.;5603
045018;Aconsejar al paciente a consultar con un médico si el estreñimiento o la impactación persisten.;0450
355011;Aconsejar al paciente a no utilizar ropa muy estrecha y tejidos de lana o sintéticos.;3550
426033;Aconsejar al paciente con riesgo de reacciones alérgicas graves que reciba terapia de desensibilización.;4260
636616;Aconsejar al paciente de las diferentes opciones.;6366
596003;Aconsejar al paciente que cierre los ojos, si lo desea.;5960
213016;Aconsejar al paciente que disponga de hidratos de carbono simples en todo momento.;2130
449024;Aconsejar al paciente que evite el uso de tabaco sin humo, objetos en la boca y chicles porque pueden conducir a la adicción y/o problemas de salud, incluyendo el cáncer bucal, problemas de encías, pérdida de dientes y enfermedad cardíaca.;4490
173010;Aconsejar al paciente que evite los enjuagues bucales comerciales.;1730
162007;Aconsejar al paciente que evite maquillaje irritante para los ojos.;1620
173011;Aconsejar al paciente que informe inmediatamente al médico sobre cualquier signo de infección.;1730
269006;Aconsejar al paciente que no conduzca.;2690
332020;Aconsejar al paciente que obtenga la prescripción de oxigeno suplementario antes de realizar viajes en avión o a gran altitud.;3320
590006;Aconsejar al paciente que practique la técnica de la distracción antes del momento necesario, si fuera posible.;5900
449023;"Aconsejar al paciente que tenga una lista de ""deslices"", de lo que los causa y de lo que el paciente ha aprendido de ellos.";4490
164024;Aconsejar al paciente que use protección de oídos en la exposición a ruidos de alta intensidad.;1640
022102;Aconsejar al paciente que use un calzado que facilite la deambulación y evite lesiones.;0221
718006;Aconsejar el alivio de todos los malos olores.;7180
200110;Aconsejar evitar la ingesta de calcio (productos lácteos, alimentos marinos, nueces, brécol, espinacas y suplementos), si procede.;2001
740008;Aconsejar la disponibilidad de una segunda opinión.;7400
449021;Aconsejar la preparación de un plan para enfrentarse a los que fuman y para evitar estar a su alrededor.;4490
652224;Aconsejar la realización de mamografías regulares, según corresponda a la edad, el estado y el riesgo.;6522
624015;Aconsejar la solicitud de cuidados médicos adicionales, cuando corresponda.;6240
718003;Aconsejar las alteraciones estructurales necesarias para que el hogar sea accesible.;7180
560316;Aconsejar medidas de autocuidado adecuadas ante problemas menores de los pies.;5603
172003;Aconsejar no fumar ni mascar tabaco.;1720
653025;Aconsejar programas y políticas que proporcionen inmunizaciones gratis o accesibles para toda la población.;6530
449020;Aconsejar que se evite hacer régimen mientras se intenta dejar de fumar dado que ello puede arruinar la posibilidad de dejar de fumar.;4490
157003;Aconsejar que se lleven bolsas de plástico para recoger la emesis.;1570
636427;Aconsejar sobre el dolor.;6364
175008;Aconsejar y facilitar baños de asiento.;1750
634012;"Acordar con el paciente (verbalmente o por escrito), si procede, que no se ""autolesionará"" durante un período especificado de tiempo, volviéndolo a acordar a intervalos de tiempo especificados.";6340
191317;Acordar con las visitas del paciente un programa de visitas limitadas que permita períodos de descanso apropiados para disminuir el compromiso respiratorio, si está indicado.;1913
710020;Acordar la realización de los cuidados que han de prestarse al paciente por parte de los miembros de la familia, si resulta óptimo.;7100
103014;Acordar una conducta con el paciente para provocar las conductas de ganancias o mantenimiento de peso deseadas.;1030
656014;Activar el sistema de control de entrada del área, si procede.;6560
620002;Activar el sistema de urgencia médica.;6200
884024;Actualizar los programas para desastres, según sea necesario.;8840
704027;Actuar en lugar del cuidador si se hace evidente una sobrecarga de trabajo.;7040
620001;Actuar rápida y metódicamente, proporcionado cuidados en las condiciones más urgentes.;6200
097023;Acunar y transportar a un lactante o niño pequeño.;0970
789212;Acunar y transportar a un lactante o niño pequeño.;7892
276006;Adaptar el ambiente al déficit centrándose en el costado no afectado durante el período agudo.;2760
022207;Adaptar el ambiente para facilitar la concentración.;0222
552011;Adaptar la información para que cumpla con el estilo de vida/rutina del paciente.;5520
148013;Adaptar la zona del masaje, la técnica y la presión a la percepción de alivio del paciente y al propósito del masaje.;1480
560425;Adaptar los métodos/materiales educativos a las necesidades/características de enseñanza del grupo, si procede.;5604
672026;Adelantar la expulsión espontánea de la placenta.;6720
368010;Adherir un catéter a la jeringa para las aberturas pequeñas.;3680
384010;Administración el sodio dantroleno, si procede.;3840
409014;Administrar Soporte Vital Cardíaco Avanzado, si procede.;4090
272010;Administrar ablandadores de heces (laxantes).;2720
133012;Administrar aceites esenciales utilizando métodos adecuados (p. ej., masaje, inhalación) y en las áreas adecuadas del cuerpo (p. ej., pies, espalda).;1330
641202;Administrar adrenalina acuosa subcutánea al 1:1000 con la dosis adecuada a la edad.;6412
425605;Administrar adrenalina sucutánea vías i.v. o endotraqueal para anafilaxis, si corresponde.;4256
426030;Administrar adrenalina, i.v., i.o. o endotraqueal, si procede.;4260
426029;Administrar agentes antiinflamatorios y/o broncodilatadores, si procede.;4260
254023;Administrar agentes bloqueadores neuromusculares, según proceda.;2540
417015;Administrar agentes de descarga prescritos (morfina, furosemida y nitroglicerina), si procede.;4170
413021;Administrar agentes farmacológicos para aumentar la diuresis, cuando esté prescrito.;4130
259027;Administrar agentes farmacológicos para mantener la PIC dentro del margen especificado.;2590
421026;Administrar agentes farmacológicos para mantener los parámetros hemodinámicos dentro del margen especificado.;4210
192018;Administrar agentes farmacológicos para reemplazar el cloro, si está indicado.;1920
406412;Administrar agentes inotrópicos positivo, si procede.;4064
323010;Administrar agentes mucolíticos, si procede.;3230
330011;Administrar agentes paralizantes musculares, sedantes y analgésicos narcóticos prescritos, según proceda.;3300
255004;Administrar agentes que expandan el volumen intravascular, si procede (coloides, productos sanguíneos y cristaloides).;2550
255007;Administrar agentes reológicos (manitol en dosis bajas o dextrano de bajo peso molecular (LMD), según prescripción.;2550
314017;Administrar aire u oxígeno humificados, si procede.;3140
112014;Administrar alimentación enteral, cuando sea preciso.;1120
145024;Administrar alimentos fríos, líquidos transparentes, sin olor y sin color, según sea conveniente.;1450
300003;"Administrar analgesia preprocedimiento aproximadamente 1 hora antes del mismo (p.ej; paracetamol) .";3000
693015;Administrar analgésicos PRN para promover el alivio y el sueño según protocolo de la institución.;6930
672010;Administrar analgésicos locales antes del parto o la episiotomía, si está indicado.;6720
683025;Administrar analgésicos para acomodar y relajar durante los dolores.;6830
675016;Administrar analgésicos para facilitar el descanso, la relajación, la lactancia y los cuidados del bebé, según el caso.;6750
221014;Administrar analgésicos y /o fármacos complementarios cuando sea necesario para potenciar la analgesia.;2210
266022;Administrar analgésicos, si es necesario.;2660
687006;Administrar analgésicos, si es necesario.;6870
672030;Administrar anestésicos locales antes de la reparación quirúrgica, cuando se indique.;6720
191213;Administrar anhidrasa carbónica-diuréticos inhibidores (acetazolamida y metazolamida) para aumentar la eliminación de bicarbonaro, si procede.;1912
287014;Administrar antagonistas de los narcóticos, si procede, de acuerdo con el protocolo del centro.;2870
191212;Administrar antagonistas de receptor H2 (ranitidina y cimetidina) para bloquear la secreción hipoclorhídrica del estómago , si procede.;1912
355006;Administrar antagonistas opiáceos, según esté indicado.;3550
425033;Administrar antiarrítmicos, si procede.;4250
406421;Administrar antibióticos profilácticos.;4064
425603;Administrar antibióticos, si corresponde.;4256
346020;Administrar antibióticos, si procede, para evitar la infección yatrogénica por A. Hydrophilia .;3460
187806;Administrar antibióticos.;1878
406409;Administrar anticoagulantes o trombolíticos, según la prescripción.;4064
410612;Administrar anticoagulantes, si procede.;4106
451204;Administrar anticonvulsivos o sedantes, si procede.;4512
254017;Administrar anticonvulsivos, si procede.;2540
200417;Administrar antidiuréticos prescritos (desmopresina o vasopresina) en presencia de diabetes insípida.;2004
191217;Administrar antieméticos para reducir la pérdida de HCI en la emeresis, si procede.;1912
287013;Administrar antieméticos, si resulta necesario.;2870
256006;Administrar antihipertensivos por vía intravenosa, según prescripción.;2560
425604;Administrar antihistamínicos y/o corticosteroides, si procede.;4256
425035;Administrar antiinflamatorios y/o broncodilatadores, si procede.;4250
355005;Administrar antipruriginosos, según esté indicado.;3550
410409;Administrar antiácidos y analgésicos, si procede.;4104
451609;Administrar antídotos de drogas específicos cuando la sustancia consumida sea conocida.;4516
425617;Administrar atropina para la bradicardia, si procede.;4256
254036;Administrar barbitúricos para conseguir la supresión de golpe de EEG, según orden médica.;2540
161007;Administrar baños de pies, si es necesario.;1610
255014;Administrar bloqueadores del canal del calcio, según prescripción.;2550
697209;Administrar bolo de líquido i.v., según orden médica o el protocolo.;6972
323009;Administrar broncodilatadores, si está indicado.;3230
314013;Administrar broncodilatadores, si procede.;3140
451608;Administrar carbón activado cuando la sustancia consumida sea desconocida, si procede.;4516
200307;Administrar cloruro cálcico por prescripción (o gluconato cálcico) i.v. como antagonista de los efectos neuromusculares producidos por la hipermagnesemia, si procede.;2003
191214;Administrar cloruro para reemplazar la deficiencia de aniones (cloruro amónico o hidrocloruro de arginina, solución salina normal), si procede.;1912
191215;Administrar cloruro potásico i.v. prescrito hasta que la hipocaliemia subyacente sea corregida.;1912
418030;Administrar con precaución los vasodilatadores prescritos (nitroglicerina, nitroprusiato y bloqueadores del canal del calcio) al calentar al paciente postoperatorio inmediato, si procede.;4180
425031;Administrar concentrados de hematíes, plasma fresco congelado y/o plaquetas, si procede.;4250
425041;Administrar corticosteroides, si procede.;4250
425621;Administrar cristaloides isotónicos como dosis en bolo, manteniendo la presión sistólica a 90 mmHg o más, si procede.;4256
533002;Administrar cuestionarios de autoinformación (Beck Depression Inventory, escalas del estado funcional), si procede.;5330
094015;Administrar cuidados adecuados a la piel en los puntos de fricción.;0940
187014;Administrar cuidados de la piel en el sitio de inserción del tubo, si procede.;1870
366009;Administrar cuidados de la úlcera dérmica, si es necesario.;3660
221410;Administrar cuidados en el sitio de colocación del catéter de acuerdo con el protocolo de la institución.;2214
254034;Administrar diuréticos activos de asa u osmóticos.;2540
200711;Administrar diuréticos ahorradores de potasio de manera limitada (espironolactona o triamtereno), si procede.;2007
191216;Administrar diuréticos con potasio (espironolactona y triamtiremo), si es el caso.;1912
200212;Administrar diuréticos prescritos, si procede.;2002
417012;Administrar diuréticos prescritos, si resulta oportuno.;4170
200912;Administrar diuréticos sólo si se indica (tiazidas, diuréticos de asa similares a la furosemida o el ácido etacrínico).;2009
425036;Administrar diuréticos, si procede.;4250
425040;Administrar dosis bajas de vasopresina, si procede.;4250
284016;Administrar el anestésico de forma coherente con las necesidades de cada paciente, la evaluación clínica y con las Normas de la Práctica de Cuidados de Anestesia.;2840
045022;Administrar el enema o la irrigación, cuando proceda.;0450
200823;Administrar el magnesio i.v. prescrito para la hipomagnesemia sintomática, si procede.;2008
208028;Administrar el suplemento de electrólitos prescrito, si procede.;2080
200007;Administrar electrólitos suplementarios (oral, nasogástrico e i.v) según prescripción, si correspondiera.;2000
641214;Administrar espasmolíticos, antihistamínicos o corticosteroides, según esté indicado, y documentar si existe urticaria, angioedema o broncospasmo.;6412
380017;Administrar expansores de volumen de plasma, si procede.;3800
200909;Administrar expansores del plasma con precaución y sólo en presencia de hipovolemia.;2009
255005;Administrar expansores del volumen para mantener los parámetros hemodinámicos, según prescripción.;2550
208008;Administrar fibras según prescripción al paciente alimentado por sonda para reducir la pérdida de líquidos y electrólitos causada por la diarrea.;2080
331007;Administrar fisioterapia torácica, si procede.;3310
358408;Administrar fricciones en la espalda o el cuello, si procede;3584
350007;Administrar fricciones en la espalda/cuello, si está indicado.;3500
255017;Administrar fármacos analgésicos, si procede.;2550
272011;Administrar fármacos anticonvulsivos, si procede.;2720
200635;Administrar fármacos para disminuir el fosfato (p. ej., hidróxido de aluminio, acetato cálcico o carbonato cálcico) si está indicado en pacientes con insuficiencia renal crónica.;2006
192022;Administrar fármacos para el dolor, si está indicado.;1920
404423;Administrar fármacos que impidan episodios de la maniobra de Vasalva ( blandadores de heces, antieméticos), si procede.;4044
255020;Administrar fármacos trombolíticos, según prescripción.;2550
255003;Administrar fármacos vasoactivos, según prescripción, para mantener los parámetros hemodinámicos.;2550
415016;Administrar fármacos vasodilatadores o vasoconstrictores, si es preciso.;4150
366101;Administrar gammaglobulina para evitar cambios de fluidos, si procede.;3661
680021;Administrar globulina inmune Rh0(D) (Rho-GAM o Gamulin), si procede, para evitar la sensibilización de Rh después de procedimientos invasivos.;6800
695018;Administrar globulina inmune Rho(D) para el estado Rh negativo.;6950
402117;Administrar globulina inmune Rho(D), si procede.;4021
213007;Administrar glucagón, si procede.;2130
208032;Administrar glucosa de acción, rápida con hidratos de carbono de acción prolongada y proteínas para el control de la hipoglucemia aguda, si es el caso.;2080
213009;Administrar glucosa intravenosa, is está indicado.;2130
164005;Administrar gotas para los oídos, si procede.;1640
426023;Administrar hematíes empaquetados y/o plasma fresco congelado, según proceda.;4260
210011;Administrar heparina, según el protocolo.;2100
213005;Administrar hidratos de carbono simples, si está indicado.;2130
670011;Administrar infusión de 500 a 1000 ml de solución isotónica i.v. rápidamente en la cavidad intrauterina según protocolo o indicaciones del médico.;6700
425042;Administrar inotropos, si procede.;4250
191115;Administrar insulina y aportar líquidos (isotónicos e hipotónicos) para la cetaacidosis diabética, causante de acidosis metabólica, según corresponda.;1911
192014;Administrar insulina y potasio prescritos para el tratamiento de la cetoacidosis diabética, si procede.;1920
212006;Administrar insulina, según prescripción.;2120
120016;Administrar insulina, según órdenes, para mantener el nivel de glucosa en suero en el margen determinado, si procede.;1200
653010;Administrar inyecciones a los bebés en la parte anterolateral del muslo, cuando proceda.;6530
641015;Administrar inyecciones para alergias, si es necesario.;6410
451607;Administrar ipecacuana, si lo requiere el caso.;4516
231310;Administrar la inyección utilizando técnicas asépticas y el protocolo adecuado.;2313
231712;Administrar la inyección utilizando técnicas asépticas.;2317
390019;Administrar la medicación adecuada para evitar o controlar los escalofríos.;3900
379009;Administrar la medicación adecuada para prevenir o controlar los escalofríos.;3790
230015;Administrar la medicación con la técnica y vía adecuadas.;2300
231410;Administrar la medicación i.v. con la velocidad adecuada.;2314
230218;Administrar la medicación para aliviar el dolor a través del catéter interpleural.;2302
230207;Administrar la medicación para el dolor a través del catéter interpleural de forma intermitente o mediante goteo continuo.;2302
230112;Administrar la medicación permitiendo que fluya libremente desde el cilindro de la jeringa, utilizando el émbolo sólo cuando sea necesario para facilitar el flujo.;2301
526009;Administrar la medicación por vías alternativas cuando se desarrollen problemas con la deglución.;5260
284012;Administrar la medicación preanestésica y los líquidos correspondientes.;2840
268014;Administrar la medicación prescrita, si es el caso.;2680
697217;Administrar la medicación tocolítica prescrita para disminuir las contracciones.;6972
704004;Administrar las dificultades del rol del cuidador principal.;7040
047010;Administrar laxantes, supositorios o enema, si procede.;0470
254020;Administrar laxantes.;2540
230309;Administrar lidocaína al 1% en el punto de introducción, si procede.;2303
426020;Administrar los agentes antiarrítmicos, si procede.;4260
221012;Administrar los analgésicos a la hora adecuada para evitar picos y valles de la analgesia, especialmente con el dolor severo.;2210
259020;Administrar los antibióticos prescritos.;2590
268015;Administrar los anticonvulsivos prescritos, si es el caso.;2680
412016;Administrar los diuréticos prescritos, si procede.;4120
224013;Administrar los fármacos quimioterápicos por la noche, para que el paciente esté durmiendo en el momento en el que los efectos eméticos son mayores.;2240
420008;Administrar los líquidos i.v.a temperatura ambiente, a menos que se prescriba otra cosa.;4200
191111;Administrar los medicamentos alcalinos prescritos (bicarbonato sódico), en función de los resultados del ABG.;1911
230408;Administrar los medicamentos con el estómago vacío o con comida, si procede.;2304
293018;Administrar los medicamentos de preoperación intestinal, si procede.;2930
200106;Administrar los medicamentos prescritos para reducir las concentraciones séricas de calcio iónico (p. ej., calcitonina, indometacina, pilcamicina, fosfato, bicarbonato de sodio y glucocorticoides), si procede.;2001
331014;Administrar los medicamentos prescritos que favorezcan la permeabilidad de la vías aéreas y el intercambio gaseoso.;3310
412029;Administrar los productos sanguíneos (plaquetas y plasma fresco congelado), si procede .;4120
436032;Administrar los refuerzos inmediatamente después de que aparezca la conducta.;4360
200707;Administrar los suplementos de potasio prescritos.;2007
043015;Administrar líquidos calientes después de las comidas, si está indicado.;0430
425003;Administrar líquidos cristaloides i.v., si procede;4250
112016;Administrar líquidos de hiperalimentación, cuando lo requiera el caso.;1120
412017;Administrar líquidos i.v. a temperatura ambiente.;4120
418022;Administrar líquidos i.v. a temperatura ambiente.;4180
380012;Administrar líquidos i.v. calentados (37 a 40 º C), si procede.;3800
425816;Administrar líquidos i.v. calientes y productos sanguíneos, si está indicado.;4258
425804;Administrar líquidos i.v. como cristaloides y coloides isotónicos, si procede.;4258
641213;Administrar líquidos i.v. con rapidez (1000 ml/h) para apoyar la presión arterial, según prescripción médica o protocolo.;6412
425010;Administrar líquidos i.v. mientras se controlan las presiones hemodinámicas y la eliminación urinaria, si procede.;4250
426021;Administrar líquidos i.v. mientras se monitorizan las presiones de carga cardíaca, gasto cardíaco y producción urinaria, si procede.;4260
426022;Administrar líquidos i.v. y/u orales, según el caso.;4260
414001;Administrar líquidos i.v., según prescripción.;4140
212010;Administrar líquidos i.v., si es preciso.;2120
374018;Administrar líquidos i.v., si procede.;3740
378005;Administrar líquidos i.v., si procede.;3780
402219;Administrar líquidos i.v., si resulta oportuno.;4022
257027;Administrar líquidos intravenosos, si está prescrito.;2570
378004;Administrar líquidos orales fríos si el paciente puede tragar.;3780
191114;Administrar líquidos según prescripción.;1911
409015;"Administrar líquidos y vasoconstrictores prescritos i.v; si está indicado, para facilitar la perfusión tisular.";4090
421025;Administrar líquidos y/o expansores de volumen para mantener los parámetros hemodinámicos dentro del margen especificado.;4210
208005;Administrar líquidos, si está indicado.;2080
412015;Administrar líquidos, si procede.;4120
413018;Administrar líquidos, si procede.;4130
582009;Administrar masajes en la espalda/cuello, si procede.;5820
257040;Administrar medicaciones (p. ej., analgésicos, antieméticos), según prescripción para los efectos secundarios del tratamiento.;2570
427020;Administrar medicaciones adicionales según prescripción.;4270
352014;Administrar medicaciones orales, si procede.;3520
224009;Administrar medicaciones, si es necesario, para controlar los efectos secundarios (p. ej., antieméticos para las náuseas y los vómitos).;2240
660022;Administrar medicaciones, si es necesario, para controlar los efectos secundarios (p. ej., antieméticos para las náuseas y los vómitos).;6600
339013;Administrar medicación adecuada contra el dolor para evitar la hipoventilación.;3390
374022;Administrar medicación adecuada para evitar o controlara los temblores de frío.;3740
415020;Administrar medicación antiarrítmica, si procede.;4150
411010;Administrar medicación anticoagulante profiláctica en bajas dosis y/o antiplaquetas (heparina, aspirina, dipiridamol y dextrano).;4110
410405;Administrar medicación anticoagulante, si procede.;4104
374013;Administrar medicación antipirética, si procede.;3740
406207;Administrar medicación antiplaquetaria o anticoagulante, según sea conveniente.;4062
406612;Administrar medicación antiplaqueteria o anticoagulante, según sea conveniente.;4066
287025;Administrar medicación i.v. para controlar los escalofríos, según protocolo de la institución.;2870
108006;Administrar medicación para aumentar el peristaltismo, si está indicado.;1080
695005;"Administrar medicación para interrumpir el embarazo, si procede (supositorios de prostaglandina; prostaglandina intraamniótica, solución salina o potasio, u oxitocina intravenosa).";6950
226012;Administrar medicación según prescripción médica o protocolo (con cuidado) y de acuerdo con la respuesta del paciente.;2260
321021;Administrar medicación según proceda y/o según las normas y las pautas de procedimiento.;3210
634005;Administrar medicación, si procede, para disminuir la ansiedad, agitación o psicosis y para estabilizar el humor.;6340
420010;Administrar medicamentos  i.v. según prescripción y observar los resultados;4200
401018;Administrar medicamentos (antiácidos), si está indicado.;4010
339016;Administrar medicamentos (broncodilatadores e inhaladores) que favorezcan la permeabilidad de vías aéreas y el intercambio de gases.;3390
435234;Administrar medicamentos (estimulantes y antipsicóticos) para los cambios de conducta deseados.;4352
402206;Administrar medicamentos (lactulosa y vasopresina), si procede.;4022
658015;Administrar medicamentos PRN para la ansiedad o agitación.;6580
663014;Administrar medicamentos PRN para la ansiedad o agitación.;6630
642014;Administrar medicamentos PRN, si procede (p. ej., ansiolíticos, antipsicóticos, sedantes).;6420
464026;Administrar medicamentos PRN, si procede.;4640
588020;Administrar medicamentos ansiolíticos, si fuera necesario.;5880
255019;Administrar medicamentos anticoagulantes plaquetarios, si están prescritos.;2550
255018;Administrar medicamentos anticoagulantes, según prescripción.;2550
425606;Administrar medicamentos antiinflamatorios, si procede.;4256
390020;Administrar medicamentos antipiréticos, si está indicado.;3900
651019;Administrar medicamentos antipsicóticos sobre una base rutinaria de PRN.;6510
645025;Administrar medicamentos antipsicóticos y ansiolíticos diariamente y si es necesario.;6450
272015;Administrar medicamentos contra el dolor PRN.;2720
533040;Administrar medicamentos estabilizadores del humor (antidepresivos, litio, anticonvulsivos, antipsicóticos, ansiolíticos, hormonas y vitaminas).;5330
425414;Administrar medicamentos inotrópicos/de contractilidad positivos, si procede.;4254
415008;Administrar medicamentos inotrópicos/de contractilidad positivos.;4150
425405;Administrar medicamentos inotrópicos/de contractilidad positivos.;4254
406426;Administrar medicamentos para el dolor, si es necesario.;4064
384028;Administrar medicamentos para mantener la producción de orina.;3840
124006;Administrar medicamentos para reducir la náusea y el dolor antes de comer, si es necesario.;1240
374014;Administrar medicamentos para tratar la causa de la fiebre, si procede.;3740
200205;Administrar medicamentos prescritos para cambiar el potasio en la célula (p. ej., 50% de dextrosa e insulina, bicarbonato sódico, cloruro cálcico y gluconato cálcico), si procede.;2002
404426;Administrar medicamentos que alivien/eviten el dolor y la isquemia, si están pautados .;4044
411012;Administrar medicamentos que impidan la aparición de episodios de la maniobra de Valsalva (laxantes y antieméticos), si procede.;4110
582024;Administrar medicamentos que reduzcan la ansiedad, si están prescritos.;5820
200504;Administrar medicamentos quelantes del fosfato y diuréticos por prescripción con las comidas para disminuir la absorción del fosfato de la dieta, si procede;2005
697433;Administrar medicamentos según las órdenes médicas.;6974
644011;Administrar medicamentos si fueran necesarios para la ansiedad o agitación.;6440
061212;Administrar medicamentos si procede para el control a corto plazo.;0612
