Código-Indicador;Titulo-Indicador;Código-Escala;Código-Resultado
000518;Facilidad para realizar las actividades de la vida diaria (AVD).;4;0005
000601;Muestra afecto apropiado.;9;0006
000602;Muestra concentración.;9;0006
000603;Mantiene aseo e higiene personal.;9;0006
000604;Muestra apetito normal.;9;0006
000606;Muestra interés por lo que le rodea.;9;0006
000607;Ideas suicidas.;12;0006
000608;Muestra un nivel de energía estable.;9;0006
000609;Muestra capacidad para realizar las tareas diarias.;9;0006
000611;Letargo.;12;0006
000612;Depresión.;12;0006
000613;Sigue el régimen de medicación.;9;0006
000614;Sigue el régimen terapéutico.;9;0006
000701;Agotamiento.;3;0007
000702;Laxitud.;3;0007
000703;Estado de ánimo deprimido.;3;0007
000704;Pérdida de apetito.;3;0007
000705;Descenso de la líbido.;3;0007
000706;Alteración de la concentración.;3;0007
000707;Descenso de la motivación.;3;0007
000708;Cefalea.;3;0007
000709;Dolor de garganta.;3;0007
000710;Inflamación de ganglios linfáticos.;3;0007
000711;Mialgia.;3;0007
000712;Artralgia.;3;0007
000713;Malestar después del ejercicio.;3;0007
000714;Nivel de estrés.;3;0007
000715;Actividades de la vida diaria.;4;0007
000716;Actividades instrumentales de la vida diaria.;4;0007
000717;Rendimiento laboral.;4;0007
000718;Rendimiento del estilo de vida.;4;0007
000719;Calidad del descanso.;4;0007
000720;Calidad del sueño.;4;0007
000721;Equilibro actividad/reposo..;4;0007
000722;Alerta.;4;0007
000723;Hematocrito.;4;0007
000724;Saturación de oxígeno.;4;0007
000725;Función tiroidea.;4;0007
000726;Función inmunitaria.;4;0007
000727;Función neurológica.;4;0007
000728;Metabolismo.;4;0007
010002;Desaparición del reflejo de gateo.;9;0100
010003;Levanta la cabeza, cuello y tórax superior al cogerlo en brazos mientras está en decúbito prono.;9;0100
010004;Algún control de la cabeza en posición erguida.;9;0100
010005;Manos frecuentemente abiertas.;9;0100
010006;Desaparición del reflejo de prensión.;9;0100
010007;Emite sonidos guturales y vocaliza.;9;0100
010008;Responde a los estímulos auditivos.;9;0100
010009;Responde a los estímulos visuales.;9;0100
010010;Sonríe.;9;0100
010011;Muestra placer durante las interacciones, especialmente con los cuidadores familiares primarios.;9;0100
010101;En decúbito prono mantiene la cabeza recta y eleva el cuerpo apoyando las manos.;9;0101
010102;Controla bien la cabeza.;9;0101
010103;Se da la vuelta de decúbito prono a supino.;9;0101
010104;Sostiene sus propias manos.;9;0101
010105;Agarra el sonajero.;9;0101
010106;Alcanza objetos.;9;0101
010107;Agita los objetos.;9;0101
010108;Balbucea y emite sonidos guturales.;9;0101
010109;Reconoce las voces de los padres.;9;0101
010110;Reconoce el contacto con los padres.;9;0101
010111;Mira y se excita por el movimiento.;9;0101
010112;Sonríe, se ríe y chilla.;9;0101
010114;Se autoacomoda.;9;0101
010116;Muestra un patrón de sueño nocturno.;9;0101
010201;No se le cae la cabeza cuando se le coge para sentarlo.;9;0102
010202;Se da la vuelta.;9;0102
010203;Se sienta con apoyo.;9;0102
010204;Permanece de pie cuando se sujeta.;9;0102
010205;Coge objetos y se los lleva a la boca.;9;0102
010206;Gesticula (p. ej., señala, agita la cabeza).;9;0102
010207;Comienza a alimentarse por sí mismo.;9;0102
010208;Muestra interés por los juguetes.;9;0102
010209;Se cambia pequeños objetos de una mano a otra.;9;0102
010210;"Vocaliza / canta sílabas (p. ej., ""dada"", ""baba"").";9;0102
010211;Balbucea recíprocamente.;9;0102
010212;Sonríe, ríe, chilla, imita ruidos.;9;0102
010213;Se gira ante ruidos.;9;0102
010214;Comienza a mostrar signos de ansiedad ante desconocidos.;9;0102
010215;Se autoacomoda.;9;0102
010301;Desea estar de pie.;9;0103
010302;Se apoya en el mobiliario para caminar.;9;0103
010303;Intenta dar pasos solo.;9;0103
010304;Se agarra con precisión.;9;0103
010305;Señala con el dedo índice.;9;0103
010306;Golpea un bloque contra otro.;9;0103
010307;Bebe de una taza.;9;0103
010308;Come con los dedos.;9;0103
010309;Come con la cuchara.;9;0103
010310;"Utiliza un vocabulario entre una y tres palabras además de ""mamá"" y ""papá"".";9;0103
010311;Imita vocalizaciones.;9;0103
010312;Busca objetos escondidos o que se caen;9;0103
010313;Participa en juegos sociales.;9;0103
010314;Dice adiós con la mano.;9;0103
010401;Camina de forma rápida.;9;0104
010402;Se agacha bien.;9;0104
010403;Sube y baja escalera de una en una.;9;0104
010404;Camina hacia atrás.;9;0104
010405;Da patadas a una pelota.;9;0104
010406;Lanza una pelota.;9;0104
010407;Hace trazos circulares y horizontales con un lápiz de color.;9;0104
010408;Apila cinco o seis bloques.;9;0104
010409;Come con cuchara y tenedor.;9;0104
010410;Sigue instrucciones con dos componentes.;9;0104
010411;Indica verbalmente sus deseos.;9;0104
010412;Utiliza frases de dos o tres palabras.;9;0104
010413;Escucha un cuento mirando los dibujos.;9;0104
010414;Señala algunas partes del cuerpo.;9;0104
010415;Juego paralelo.;9;0104
010416;Imita a los adultos.;9;0104
010417;Interacciona con los adultos en juegos simples.;9;0104
010501;Mantiene el equilibrio  con un solo pie.;9;0105
010502;Pedalea una bicicleta de juguete.;9;0105
010503;Se viste.;9;0105
010504;Control de la escritura / instrumentos para colorear.;9;0105
010505;Copia un círculo.;9;0105
010506;Copia una cruz.;9;0105
010507;Control intestinal durante el día.;9;0105
010508;Control vesical durante el día.;9;0105
010509;Distingue las diferencias entre sexos.;9;0105
010510;Dice cómo se llama.;9;0105
010511;Dice su edad.;9;0105
010512;Posee fantasías o ideas imaginarias.;9;0105
010513;Participa en juegos interactivos con sus compañeros.;9;0105
010514;Comienza a jugar en grupos colaboradores.;9;0105
010515;Utiliza frases de tres o cuatro palabras.;9;0105
010516;Habla inteligible para las personas extrañas.;9;0105
010601;Camina, sube y corre.;9;0106
010602;Sube y baja escaleras.;9;0106
010603;Salta y sube con un pie.;9;0106
010604;Monta en triciclo o en bicicleta con cuatro ruedas.;9;0106
010605;Tira la pelota a las manos.;9;0106
010606;Construye torres de 10 bloques.;9;0106
010607;Dibuja personas con tres partes.;9;0106
010608;Dice su nombre y apellidos.;9;0106
010609;Utiliza frases de cuatro a cinco palabras, párrafos cortos.;9;0106
010610;Su vocabulario incluye el tiempo pasado.;9;0106
010611;Describe una experiencia reciente.;9;0106
010612;Puede cantar una canción.;9;0106
010613;Distingue la fantasía de la realidad.;9;0106
010614;Describe el uso de ítems utilizados en casa.;9;0106
010616;Participa en juegos creativos.;9;0106
010702;Salta.;9;0107
010703;Se viste solo.;9;0107
010704;Dibuja una persona con cabeza, cuerpo, brazos y piernas.;9;0107
010705;Copia un triángulo o un cuadrado.;9;0107
010706;Cuenta con los dedos.;9;0107
010707;Reconoce la mayoría de las letras del abecedario.;9;0107
010708;Escribe algunas letras.;9;0107
010709;Utiliza frases completas de cinco palabras.;9;0107
010710;Su vocabulario incluye el tiempo futuro.;9;0107
010711;Habla con párrafos cortos.;9;0107
010712;Dice su dirección.;9;0107
010713;Dice su número de teléfono.;9;0107
010714;Sigue las normas de los juegos interactivos con sus compañeros.;9;0107
010716;Participa en juegos creativos.;9;0107
010717;Camina.;9;0107
010718;Trepa.;9;0107
010719;Corre.;9;0107
010801;Practica hábitos higiénicos.;9;0108
010802;Juega en grupos.;9;0108
010803;Desarrolla amistades íntimas.;9;0108
010804;Se identifica con sus compañeros del mismo sexo.;9;0108
010805;Asume responsabilidades en determinadas tareas domésticas.;9;0108
010806;Cumple los compromisos de las actividades extraacadémicas.;9;0108
010807;Expresa sentimientos de forma constructiva.;9;0108
010808;Manifiesta confianza en sí mismo.;9;0108
010809;Comprende el bien y el mal.;9;0108
010810;Cumple las normas de seguridad.;9;0108
010811;Expresa pensamientos cada vez más complejos.;9;0108
010812;Muestra creatividad.;9;0108
010813;Comprende ideas cada vez más complejas.;9;0108
010814;Asume responsabilidades en las tareas domésticas.;9;0108
010815;Rinde en la escuela al nivel de su capacidad.;9;0108
010901;Pratica hábitos higiénicos.;9;0109
010902;Describe el desarrollo sexual.;9;0109
010903;Está conforme con su identidad sexual.;9;0109
010904;Utiliza habilidades de interacción social.;9;0109
010905;Utiliza estrategias de resolución de conflictos.;9;0109
010906;Mantiene buena relación con sus compañeros del mismo sexo.;9;0109
010907;Mantiene buena relación con sus compañeros del sexo opuesto.;9;0109
010908;Manifiesta capacidad de intimidad.;9;0109
010910;Evita el consumo de alcohol, tabaco y drogas.;9;0109
010911;Manifiesta autosuficiencia.;9;0109
010912;Manifiesta niveles progresivos de autonomía.;9;0109
010913;Describe el esquema de valores personales.;9;0109
010914;Utiliza el pensamiento operativo formal.;9;0109
010915;Establece objetivos académicos.;9;0109
010916;Rinde en la escuela al nivel de su capacidad.;9;0109
010918;Evita consumir tabaco.;9;0109
010919;Evita el consumo de drogas.;9;0109
010920;Da rienda suelta a sentimientos negativos de forma no destructiva.;9;0109
010921;Respeta a los demás.;9;0109
010922;Discute los sentimientos de distrés con un adulto que le apoya.;9;0109
010923;Participa en actividades extraescolares.;9;0109
010924;Rinde en el trabajo a nivel de capacidad.;9;0109
010925;Identifica objetivos laborales.;9;0109
010926;Sigue la reglas.;9;0109
010927;Cumple la leyes.;9;0109
010928;Pospone la actividad sexual.;9;0109
010929;Evita la actividad sexual de alto riesgo.;9;0109
011001;Percentil del peso por sexo.;1;0110
011002;Percentil del peso por edad.;1;0110
011003;Percentil del peso por talla.;1;0110
011004;Tasa de aumento de peso.;1;0110
011005;Tasa de aumento de talla.;1;0110
011006;Percentil de longitud/talla por edad.;1;0110
011007;Percentil de longitud/talla por sexo.;1;0110
011008;Percentil de perímetro craneal por edad.;1;0110
011009;Índice de masa ósea.;1;0110
011010;Índice corporal medio.;1;0110
011101;Frecuencia cardíaca fetal (120 - 160).;1;0111
011102;Patrones de desaceleración en los hallazgos electrónicos del monitor fetal.;1;0111
011103;Variabilidad en los hallazgos electrónicos del monitor fetal.;1;0111
011104;Medidas ecográficas del crecimiento fetal.;1;0111
011105;Frecuencia del movimiento fetal.;1;0111
011106;Patrón del movimiento fetal.;1;0111
011107;Prueba no estresante.;1;0111
011108;Prueba estresante de contracción.;1;0111
011109;Prueba de auscultación de la aceleración.;1;0111
011110;Puntuación del perfil biofísico.;1;0111
011111;Hallazgos en el líquido amniótico.;1;0111
011112;Velocidad del flujo sanguíneo arterial umbilical.;1;0111
011201;Frecuencia cardíaca fetal (120 - 160).;1;0112
011202;Patrones de desaceleración en los hallazgos electrónicos del monitor fetal.;1;0112
011203;Variabilidad en los hallazgos electrónicos del monitor fetal.;1;0112
011204;Color del líquido amniótico.;1;0112
011205;Cantidad de líquido amniótico.;1;0112
011206;Posición fetal.;1;0112
011207;Presentación fetal.;1;0112
011209;pH sanguíneo del cuero cabelludo fetal.;1;0112
011210;Respuesta de estimulación del cuero cabelludo fetal.;1;0112
011212;Pulsioximetría fetal.;1;0112
011301;Masa corporal media.;1;0113
011302;Densidad ósea.;1;0113
011303;Gasto cardíaco.;1;0113
011304;Capacidad vital.;1;0113
011305;Presión arterial.;1;0113
011306;Elasticidad cutánea.;1;0113
011307;Fuerza muscular.;1;0113
011308;Agudeza auditiva.;1;0113
011309;Agudeza visual.;1;0113
011310;Agudeza olfativa.;1;0113
011311;Agudeza gustativa.;1;0113
011312;Metabolismo basal.;1;0113
011313;Patrón de distribución grasa.;1;0113
011314;Patrón de distribución del pelo.;1;0113
011315;Patron menstrual.;1;0113
011316;Funcionamiento sexual.;1;0113
011318;Memoria.;1;0113
011319;Capacidad cognitiva.;1;0113
011320;Movilidad articular.;1;0113
011321;Agudeza sensitiva.;1;0113
011322;Tono del músculo vesical.;1;0113
011323;Resistencia a infecciones.;1;0113
011401;Aumento considerable del crecimiento entre los 9,5 y los 14,5 años de edad.;1;0114
011402;Cierre de la epífisis óseas.;1;0114
011403;Cambios de voz.;1;0114
011404;Distribución adulta del pelo.;1;0114
011405;Desarrollo mamario.;1;0114
011406;Inicio de la menstruación.;1;0114
011407;Aumento de la masa muscular.;1;0114
011408;Disminución de la grasa corporal.;1;0114
011409;Aumento de las secreciones sebáceas.;1;0114
011410;Aumento de la sudoración.;1;0114
011501;Aumento considerable del crecimiento entre los 10,5 y los 16 años de edad.;1;0115
011502;Cierre de las epífisis óseas.;1;0115
011503;Cambios de voz.;1;0115
011504;Distribución adulta del pelo.;1;0115
011505;Descenso testicular.;1;0115
011506;Crecimiento del pene.;1;0115
011507;Primera eyaculación de esperma (sueño mojado).;1;0115
011508;Aumento de la masa muscular.;1;0115
011509;Disminución de la grasa corporal.;1;0115
011510;Aumento de las secreciones sebáceas.;1;0115
011511;Aumento de la sudoración.;1;0115
011601;Participación en juegos.;9;0116
011603;Expresión de placer con el juego.;9;0116
011604;Uso de habilidades sociales durante el juego.;9;0116
011605;Uso de habilidades físicas durante el juego.;9;0116
011606;Uso de imaginación durante el juego.;9;0116
011607;Expresión de emociones durante el juego.;9;0116
011608;Uso del rol de juego.;9;0116
011610;Expresa satisfacción con las actividades de juegos.;9;0116
011701;Frecuencia cardíaca (120-160 LPM*).;4;0117
011702;Indice de edad gestacional.;4;0117
011703;Frecuencia respiratoria (30-60 LPM*).;4;0117
011704;Saturación de oxígeno > 85%.;4;0117
011705;Termorregulación.;4;0117
011706;Coloración cutánea.;4;0117
011707;Tolerancia alimentaria.;4;0117
011708;Tono muscular relajado.;4;0117
011709;Movimiento sincrónico fluído;4;0117
011710;Postura flexionada.;4;0117
011711;Posición de las manos hacia la boca.;4;0117
011712;Sueño profundo.;4;0117
011713;Sueño ligero.;4;0117
011714;Despierto, tranquilo.;4;0117
011715;Despierto, activo.;4;0117
011716;Atento a los estímulos.;4;0117
011717;Responde a estímulos.;4;0117
011718;Señales de intervalo apropiadas.;4;0117
011719;Alerta mantenida durante la interacción.;4;0117
011720;Interacción con el cuidador.;4;0117
011721;Autoconsolación.;4;0117
011801;Puntuación Apgar.;1;0118
011802;Índice de edad gestacional.;1;0118
011803;Frecuencia cardíaca (100-160 LPM).;1;0118
011804;Frecuencia respiratoria (30-60).;1;0118
011805;Tasa de presión arterial entre brazo y pierna.;1;0118
011806;Saturación de oxígeno > 90%.;1;0118
011807;Termorregulación.;1;0118
011808;Coloración cutánea.;1;0118
011809;Ojos limpios.;1;0118
011810;Sequedad del cordón umbilical.;1;0118
011811;Peso.;1;0118
011812;Tolerancia a la alimentación.;1;0118
011813;Reflejo de succión.;1;0118
011814;Tono muscular.;1;0118
011815;Movimiento sincrónico fluido.;1;0118
011816;Atención a los estímulos.;1;0118
011817;Respuesta a estímulos.;1;0118
011818;Alerta mantenida durante la interacción.;1;0118
011819;Interacción con el cuidador.;1;0118
011820;Autoconsuelo.;1;0118
011821;Glucemia.;1;0118
011822;Prueba de Coombs.;1;0118
011823;Concentración de bilirrubina.;1;0118
011824;Evacuación intestinal.;1;0118
011825;Eliminación urinaria.;1;0118
011901;Consigue la excitación sexual.;9;0119
011902;Erección sostenida del clítoris/pene hasta el orgasmo.;9;0119
011903;Excitación sostenida hasta el orgasmo.;9;0119
011904;Utiliza dispositivos de ayuda si es necesario.;9;0119
011905;Adapta la técnica sexual cuando es necesario.;9;0119
011906;Ausencia de consumo de sustancias que afectan negativamente a la función sexual.;9;0119
011907;Expresa capacidad de realizar la actividad sexual a pesar de imperfecciones físicas.;9;0119
011908;Expresa comodidad con la manifestación sexual.;9;0119
011909;Expresa autoestima.;9;0119
011910;Expresa comodidad con su cuerpo.;9;0119
011911;Expresa interés sexual.;9;0119
011912;Expresa capacidad para intimar.;9;0119
011913;Expresa voluntad sexual.;9;0119
011914;Refiere disposición/disponibilidad a relaciones consentidas.;9;0119
011915;Expresa respeto por la pareja.;9;0119
011916;Expresa aceptación de la pareja.;9;0119
011917;Expresa conocimiento de las capacidades sexuales de la pareja.;9;0119
011918;Expresa conocimiento de las capacidades sexuales personales.;9;0119
011919;Expresa conocimiento de las necesidades sexuales de la pareja.;9;0119
011920;Expresa conocimiento de las necesidades sexuales personales.;9;0119
011921;Se comunica fácilmente con la pareja.;9;0119
011922;Comunica las necesidades sexuales con la pareja.;9;0119
011923;Comunica las preferencias sexuales con la pareja.;9;0119
011924;Realiza la actividad sexual si el ambiente es adecuado.;9;0119
011925;Realiza la actividad sexual sin coacción de la pareja.;9;0119
011927;Utiliza terapia de sustitución hormonal si es necesario.;9;0119
012001;Hace señales de hambre.;9;0120
012002;Hace señales de incomodidad.;9;0120
012003;Responde a los sonidos.;9;0120
012004;Responde a la voz.;9;0120
012005;Responde a la cara.;9;0120
012006;Arrulla.;9;0120
012007;Sonríe espontáneamente.;9;0120
012008;Los ojos siguen la línea media.;9;0120
012009;Hace señales de hiperestimulación.;9;0120
012010;Manifiesta cinco estados de sueño y alerta.;9;0120
012011;Flexiona las extremidades.;9;0120
012012;Sostiene la cabeza recta momentáneamente.;9;0120
012013;Gira la cabeza de lado a lado, cuando está tumbado boca abajo.;9;0120
012014;Mantiene la cabeza en la línea horizontal con la espalda cuando está tumbado boca abajo.;9;0120
012015;Reflejo de Moro.;9;0120
012016;Reflejo tónico del cuello.;9;0120
012017;Reflejo de danza.;9;0120
012018;Reflejo natatorio.;9;0120
012019;Reflejo de Babinski.;9;0120
012020;Reflejo de succión.;9;0120
012021;Reflejo palmar.;9;0120
012022;Reflejo plantar.;9;0120
012023;Reflejo de hociqueo.;9;0120
012101;Mantiene la función cognitiva.;9;0121
012102;Mantiene las habilidades del lenguaje.;9;0121
012103;Mantiene las habilidades para resolver problemas.;9;0121
012104;Mantiene el aprendizaje de por vida.;9;0121
012105;Muestra una actitud realista sobre las capacidades.;9;0121
012106;Compensa si se produce un deterioro de memoria.;9;0121
012107;Afronta la pérdida personal.;9;0121
012108;Afronta la propia mortalidad.;9;0121
012109;Mantiene intereses por la vida.;9;0121
012110;Muestra sentido del orgullo.;9;0121
012111;Muestra sentido de consecución.;9;0121
012112;Mantiene relaciones con los familiares próximos.;9;0121
012113;Mantiene relaciones con los familiares lejanos.;9;0121
012114;Mantiene relaciones estrechas con los amigos.;9;0121
012115;Sobrelleva tener hijos adultos en casa.;9;0121
012116;Desempeña un papel positivo en las vidas de los nietos.;9;0121
012117;Se adapta al papel de crianza de los nietos;9;0121
012118;Se adapta a la jubilación;9;0121
012119;Desarrolla nuevos intereses.;9;0121
012120;Se adapta a las necesidades cambiantes para la asistencia.;9;0121
012121;Acepta ayuda de otros.;9;0121
012122;Se adapta al cambio en los ingresos económicos.;9;0121
012123;Se adapta al cambio en los planes de vida.;9;0121
012124;Se adapta al cambio en el estado civil.;9;0121
012125;Se adapta al cambio en la relación conyugal.;9;0121
012126;Se adapta a los cambios de la función sexual.;9;0121
012127;Practica sexo seguro.;9;0121
012128;Se adapta al deterioro funcional.;9;0121
012129;Evita el abuso de sustancias.;9;0121
012130;Desafía los estereotipos de la discriminación por razón de edad.;9;0121
012131;Deriva la ayuda de creencias religiosas o espirituales.;9;0121
012132;Busca comprensión para el significado de la propia vida.;9;0121
012133;Cumple las leyes que protegen el bienestar de otros.;9;0121
012134;Reconoce los valores personales.;9;0121
012135;Reconoce los valores de otros.;9;0121
012136;Reconoce las opiniones personales.;9;0121
012137;Admite las opiniones de otros.;9;0121
012138;Evita violar los derechos de otros.;9;0121
012139;Respeta a los otros.;9;0121
012140;Respeta el entorno.;9;0121
012141;Apoya la igualdad en el tratamiento de otros.;9;0121
012142;Reconoce que la confianza mutua es necesaria en las relaciones saludables.;9;0121
012143;Muestra enfado.;12;0121
012144;Muestra una confianza inadecuada en otros.;12;0121
012145;Muestra soledad.;12;0121
012146;Muestra depresión.;12;0121
012147;Muestra ansiedad.;12;0121
012148;Se sumerge en el pasado.;12;0121
012201;Muestra una función cognitiva de alto nivel.;9;0122
012202;Utiliza habilidades ampliadas del lenguaje.;9;0122
012203;Utiliza el conocimiento acumulado en la toma de decisiones.;9;0122
012204;Muestra un alto nivel de habilidades para resolver problemas.;9;0122
012205;Muestra creatividad.;9;0122
012206;Mantiene el aprendizaje de por vida.;9;0122
012207;Muestra éxito en la profesión elegida.;9;0122
012208;Muestra flexibilidad laboral.;9;0122
012209;Afronta la pérdida personal.;9;0122
012210;Afronta el desgaste profesional.;9;0122
012211;Expresa optimismo sobre el presente.;9;0122
012212;Expresa optimismo sobre el futuro.;9;0122
012213;Se adapta a los hijos que viven en casa.;9;0122
012214;Sobrelleva tener hijos adultos en casa.;9;0122
012215;Desempeña un papel positivo en las vidas de los nietos.;9;0122
012216;Se adapta al papel de cuidar de los nietos.;9;0122
012217;Muestra un sentido firme del yo.;9;0122
012218;Mantiene una relación íntima saludable con la pareja.;9;0122
012219;Mantiene relaciones con los familiares próximos.;9;0122
012220;Mantiene relaciones con los familiares lejanos.;9;0122
012221;Desarrolla relaciones estrechas con los amigos.;9;0122
012222;Se adapta a los cambios de la función sexual.;9;0122
012223;Practica sexo seguro.;9;0122
012224;Se adapta a cambios en la mitad de la vida.;9;0122
012225;Evita el abuso de sustancias.;9;0122
012226;Cumple las leyes que protegen el bienestar de otros.;9;0122
012227;Reconoce los valores personales.;9;0122
012228;Reconoce los valores de otros.;9;0122
012229;Reconoce las opiniones personales.;9;0122
012230;Admite las opiniones de otros.;9;0122
012231;Evita violar los derechos de otros.;9;0122
012232;Respeta a los otros.;9;0122
012233;Respeta el entorno.;9;0122
012234;Apoya la igualdad en el tratamiento de otros.;9;0122
012235;Reconoce que la confianza mutua es necesaria en las relaciones saludables.;9;0122
012236;Se sumerge en el pasado.;12;0122
012237;Muestra un enfado no resuelto.;12;0122
012238;Muestra temas emocionales no resueltos.;12;0122
012239;Muestra un miedo incapacitante.;12;0122
012240;Muestra un riesgo inseguro en las conductas.;12;0122
012241;Muestra impulsividad.;12;0122
012301;Expresa pensamientos complejos.;9;0123
012302;Amplía habilidades de lenguaje.;9;0123
012303;Hace selección adecuativa.;9;0123
012304;Hace selección laboral.;9;0123
012305;Establece un empleo retribuido.;9;0123
012306;Establece un patrón de aprendizaje de por vida.;9;0123
012307;Muestra rasgos de personalidad estables.;9;0123
012308;Adapta el estilo de vida según los acontecimientos vitales.;9;0123
012309;Adopta la identidad sexual.;9;0123
012310;Practica sexo seguro.;9;0123
012311;Mantiene una relación sexual saludable con la pareja.;9;0123
012312;Mantiene relaciones con los familiares próximos.;9;0123
012313;Mantiene relaciones con los familiares lejanos.;9;0123
012314;Desarrolla nuevas amistades.;9;0123
012315;Afronta la pérdida personal.;9;0123
012316;Se adapta al papel de progenitor.;9;0123
012317;Muestra autonomía.;9;0123
012318;Muestra autocontrol.;9;0123
012319;Muestra responsabilidad personal.;9;0123
012320;Evita el abuso de sustancias.;9;0123
012321;Cumple las leyes que protegen el bienestar de otros.;9;0123
012322;Reconoce los valores personales.;9;0123
012323;Reconoce los valores de otros.;9;0123
012324;Reconoce las opiniones personales.;9;0123
012325;Admite las opiniones de otros.;9;0123
012326;Evita violar los derechos de otros.;9;0123
012327;Respeta a los otros.;9;0123
012328;Respeta el entorno.;9;0123
012329;Se sumerge en el pasado.;12;0123
012330;Muestra un enfado no resuelto.;12;0123
012331;Muestra temas emocionales no resueltos.;12;0123
012332;Muestra un miedo incapacitante.;12;0123
012333;Muestra una desconfianza inadecuada en otros.;12;0123
012334;Muestra un riesgo inseguro en las conductas.;12;0123
012335;Muestra impulsividad.;12;0123
020001;Soporta el peso.;4;0200
020002;Camina con marcha eficaz.;4;0200
020003;Camina a paso lento.;4;0200
020004;Camina a paso moderado.;4;0200
020005;Camina a paso rápido.;4;0200
020006;Sube escaleras.;4;0200
020007;Baja escaleras.;4;0200
020008;Sube cuestas.;4;0200
020009;Baja cuestas.;4;0200
020010;Camina distancias cortas (< 1 manzana).;4;0200
020011;Camina distancias moderadas (> 1 manzana y < 5 manzanas).;4;0200
020012;Camina largas distancias (5 manzanas o más).;4;0200
020014;Anda por la habitación.;4;0200
020015;Anda por la casa.;4;0200
020016;Se adapta a diferentes tipo de superficies.;4;0200
020017;Camina alrededor de obstáculos.;4;0200
020101;Se traslada de y hacia la silla de ruedas.;4;0201
020102;Impulsa la silla de ruedas con seguridad.;4;0201
020103;Impulsa la silla de ruedas en distancias cortas.;4;0201
020104;Impulsa la silla de ruedas en distancias moderadas.;4;0201
020105;Impulsa la silla de ruedas en largas distancias.;4;0201
020106;Maniobra en las curvas.;4;0201
020107;Maniobra para entrar.;4;0201
020108;Maniobra en las rampas.;4;0201
020201;Equilibrio en bipedestación.;4;0202
020202;Equilibrio en sedestación.;4;0202
020203;Equilibrio al caminar.;4;0202
020205;Tambaleo.;3;0202
020206;Mareo.;3;0202
020207;Agitación.;3;0202
020208;Tropiezo.;3;0202
020209;Equilibro sobre un pie.;4;0202
020210;Equilibrio mientras cambia el equilibrio de un pie a otro.;4;0202
020211;Postura.;4;0202
020301;De tumbado a tumbado.;4;0203
020302;De tumbado a sentado.;4;0203
020303;De sentado a tumbado.;4;0203
020304;De sentado a ponerse de pie.;4;0203
020305;De pie sentado.;4;0203
